web-scraper-order,web-scraper-start-url,action_figure_link,action_figure_link-href,name,image-src,price,description
"1700691305-14","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Luke Skywalker Dagobah & Yoda","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/luke-skywalker-dagobah-yoda-1433.php","Star Wars 6"" Black Series Luke Skywalker Dagobah & Yoda","/star-wars/images/thumbs/luke-skywalker-dagobah-yoda-1433.jpg","C$41.10","Star Wars 6"" Black Series Luke Skywalker Dagobah & Yoda 
At the urging of Obi-Wan Kenobi, Yoda agreed to instruct Luke Skywalker, developing his Jedi abilities. Includes Luke's lightsaber, laser blaster, backpack for yoda and his cane."
"1700691307-15","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Imperial Probe Droid","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/imperial-probe-droid-1365.php","Star Wars 6"" Black Series Imperial Probe Droid","/star-wars/images/thumbs/imperial-probe-droid-1365.jpg","C$48.40","Star Wars 6"" Black Series Imperial Probe Droid 
IMPERIAL PROBE DROID: Specifically designed for deep space exploration and reconnaissance, probe droids are tenacious hunters and searchers.

Tenacious hunters and searchers, probe droids have a variety of sensors, and the ones employed by the Empire are armed with powerful blasters!

INCLUDED DISPLAY STAND: This Star Wars The Black Series figure comes with an included stand so collectors and fans can display the Imperial Probe Droid toy in their Star Wars collection"
"1700691309-16","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Heavy Infantry Mandalorian","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/heavy-infantry-mandalorian-1349.php","Star Wars 6"" Black Series Heavy Infantry Mandalorian","/star-wars/images/thumbs/heavy-infantry-mandalorian-1349.jpg","C$31.60","Star Wars 6"" Black Series Heavy Infantry Mandalorian 
HEAVY INFANTRY MANDALORIAN: A born survivor, he guards a precious armory and helps to keep the flames of Mandalorian heritage flickering in this time of galactic chaos. This figure is considered D2 in the deluxe figure lineup."
"1700691311-17","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","General Grievous","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/general-grievous-1137.php","Star Wars 6"" Black Series General Grievous","/star-wars/images/thumbs/general-grievous-1137.jpg","C$46.70","Star Wars 6"" Black Series General Grievous 
General Grievous was a brilliant Separatist military strategist and a feared Jedi hunter, known for his ruthlessness and hacking cough. His body itself was a weapon, allowing him lightning quick strikes and devastating blows. But he was also quick to run from a fight, a tactic that worked until one final meeting with Obi-Wan Kenobi. Target DPCI: 087-16-3977"
"1700691313-18","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Enfys Nest & Swoop Bike","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/enfys-nest-swoop-bike-1053.php","Star Wars 6"" Black Series Enfys Nest & Swoop Bike","/star-wars/images/thumbs/enfys-nest-swoop-bike-1053.jpg","C$46.07","Star Wars 6"" Black Series Enfys Nest & Swoop Bike 
An extremely dangerous marauder, Enfys Nest is brutally carving out a nefarious reputation for themself and their gang of swoop-riding pirates, the Cloud-Riders. The gang terrorizes the skies atop their mean-looking swoop bikes. Little more than engines with seats, swoops are hard to control but capable of incredible speed."
"1700691316-19","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Sandtrooper and Dewback","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/sandtrooper-and-dewback-357.php","Star Wars 6"" Black Series Sandtrooper and Dewback","/star-wars/images/thumbs/sandtrooper-and-dewback-357.jpg","C$123.98","Star Wars 6"" Black Series Sandtrooper and Dewback 
Rugged reptiles with thick hides, Dewbacks are plodding, but reliable mounts. When prodded by their riders, they are capable of brief bursts of surprising speed. These riders are often stormtroopers dispatched to desert worlds who wear specialized gear and are nicknamed Sandtroopers. Sandtroopers wear standard Stormtrooper armor augmented with cooling units, a helmet sand filter, and a survival backpack with extra rations and water. While hunting for the Death Star plans on Tatooine, Sandtroopers used native Dewbacks as mounts."
"1700691318-20","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Kylo Ren Centerpiece","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/kylo-ren-centerpiece-1021.php","Star Wars 6"" Black Series Kylo Ren Centerpiece","/star-wars/images/thumbs/kylo-ren-centerpiece-1021.jpg","C$25.15","Star Wars 6"" Black Series Kylo Ren Centerpiece 
Kylo Ren Centerpiece unveiled at 2018 Toy Fair.



In service of Supreme Leader Snoke and the powerful First Order, Kylo Ren and a legion of stormtroopers invade Jakku in search of the star map that will lead them to the last Jedi in the galaxy, Luke Skywalker."
"1700691320-21","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Scavenger Rey and Speeder","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/scavenger-rey-and-speeder-341.php","Star Wars 6"" Black Series Scavenger Rey and Speeder","/star-wars/images/thumbs/scavenger-rey-and-speeder-341.jpg","null","Star Wars 6"" Black Series Scavenger Rey and Speeder 
The Speeder features two opening panels to see the inner detailing of the craft itself, and nine points of articulation including the base (sculpted to make it look like the Speeder displacing dust and air as it floats) that can let you pose and tilt the vehicle.



Unlike the previous Black Series Rey figure, this one'a 100% newly sculpted version, according to Hasbro, with 28 points of articulation, features soft fabric clothing to make it easier for her to get on her trusty speeder, a new satchel slung over her back, and removable face mask. On top of that, she also carries her trusty staff, which can be stored on the side of the Speeder as well."
"1700691322-22","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","X-34 Landspeeder and Luke Skywalker","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/x-34-landspeeder-and-luke-skywalker-645.php","Star Wars 6"" Black Series X-34 Landspeeder and Luke Skywalker","/star-wars/images/thumbs/x-34-landspeeder-and-luke-skywalker-645.jpg","C$93.55","Star Wars 6"" Black Series X-34 Landspeeder and Luke Skywalker 
This is the retail version (non SDCC) of the X-34 Landspeeder and Luke Skywalker. The difference between the retail version and SDCC is: No spinning turbine, lower quality poncho, different paint and no display box. Target DPCI: 087-06-9278



Luke Skywalker owned a nondescript but speedy landspeeder, racing the sand-pocked and sun-faded craft across the desert between the Lars homestead and outposts such as Tosche Station and Anchorhead. Crafted to look like Luke Skywalker's Landspeeder from Star Wars: A New Hope, this vehicle from Star Wars The Black Series is exquisitely-detailed with true-to-story design and incredible features."
"1700691324-23","https://www.actionfigure411.com/star-wars/black-series-price-guide.php","Tie Fighter","https://www.actionfigure411.com/star-wars/6-black-series/deluxe-sets/tie-fighter-69.php","Star Wars 6"" Black Series Tie Fighter","/star-wars/images/thumbs/tie-fighter-69.jpg","C$213.41","Star Wars 6"" Black Series Tie Fighter 
The elite starfighter pilots of the First Order have access to specialized craft, such as two-seater TIE craft outfitted with enhanced weapons and sensor systems. Pilots launch into combat aboard these advanced fighter craft, hunting down enemy vessels and protecting space around installations and warships. Even though the retail price is 169.99, the Tie Fighter could be found on sale for as low as $50 with free shipping."
