web-scraper-order,web-scraper-start-url,big_figure_link,big_figure_link-href,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700781456-1782","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Xemnu (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-xemnu-baf-1840.php","Marvel Legends Xemnu (BAF) Xemnu Build A Figure","Marvel Legends Xemnu (BAF) Xemnu Build A Figure 
Xemnu made his first appearance on Earth when his star ship crash-landed on Earth after running out of fuel. When revived by the human named Joe Harper, Xemnu revealed that he was a criminal who had been exiled into space for crimes against the rest of the universe.","/marvel/images/thumbs/xemnu-baf-1840.jpg","Marvel","C$52.30","C$49.57"
"1700781458-1783","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Red Skull","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-red-skull-1839.php","Marvel Legends Red Skull Xemnu Build A Figure","Marvel Legends Red Skull Xemnu Build A Figure 
Emerging from the ashes of World War II, Johann Schmidt rose to become one of Captain America’s greatest enemies, the Red Skull. Includes Head to complete Xemnu Build A Figure.","/marvel/images/thumbs/red-skull-1839.jpg","C$27.40","C$40.86","C$35.43"
"1700781460-1784","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Lady Deathstrike","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-lady-deathstrike-1836.php","Marvel Legends Lady Deathstrike Xemnu Build A Figure","Marvel Legends Lady Deathstrike Xemnu Build A Figure 
With adamantium-infused bones and cyber-genetic enhancements, Yuriko Oyama pursues a ruthless vendetta against the X-Men… and Wolverine in particular. Includes Torso to complete Xemnu Build A Figure.","/marvel/images/thumbs/lady-deathstrike-1836.jpg","C$27.40","C$27.22","C$26.73"
"1700781463-1785","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","The Hood","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-the-hood-1835.php","Marvel Legends The Hood Xemnu Build A Figure","Marvel Legends The Hood Xemnu Build A Figure 
A chance encounter with a demon gives petty thief Parker Robbins a mystical cloak and transforms him into a true criminal menace. Includes Left Leg to complete Xemnu Build A Figure.","/marvel/images/thumbs/the-hood-1835.jpg","C$27.40","C$22.41","C$21.75"
"1700781465-1786","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Dr Doom (Battle World)","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-dr-doom-battle-world-1833.php","Marvel Legends Dr Doom (Battle World) Xemnu Build A Figure","Marvel Legends Dr Doom (Battle World) Xemnu Build A Figure 
From the wreckage of colliding universes, Dr. Doom emerges as the supreme ruler of a new domain known as Battleworld. Does not include a BAF part.","/marvel/images/thumbs/dr-doom-battle-world-1833.jpg","C$27.40","C$27.70","C$22.85"
"1700781467-1787","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Dormammu","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-dormammu-1834.php","Marvel Legends Dormammu Xemnu Build A Figure","Marvel Legends Dormammu Xemnu Build A Figure 
A maniacal cosmic being with an unquenchable thirst for conquest, Dormammu uses extra-dimensional abilities to invade realms across all planes of existence. Includes Left Arm to complete Xemnu Build A Figure.","/marvel/images/thumbs/dormammu-1834.jpg","C$27.40","C$27.11","C$24.66"
"1700781469-1788","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Arcade","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-arcade-1837.php","Marvel Legends Arcade Xemnu Build A Figure","Marvel Legends Arcade Xemnu Build A Figure 
A brilliant assassin with shadowy origins, Arcade makes up for his lack of physical strength with a keen intellect and a vast personal fortune. Includes Right Leg to complete Xemnu Build A Figure.","/marvel/images/thumbs/arcade-1837.jpg","C$27.40","C$24.16","C$24.66"
"1700781471-1789","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","A.I.M. Scientist Supreme","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-a-i-m-scientist-supreme-1838.php","Marvel Legends A.I.M. Scientist Supreme Xemnu Build A Figure","Marvel Legends A.I.M. Scientist Supreme Xemnu Build A Figure 
Brilliant and diabolical, the Scientist Supreme helms a massive criminal cabal known as Advanced Idea Mechanics (A.I.M). Includes Right Arm to complete Xemnu Build A Figure.","/marvel/images/thumbs/a-i-m-scientist-supreme-1838.jpg","C$27.40","C$22.42","C$22.57"
"1700781476-1790","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Wolverine","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-wolverine-1266.php","Marvel Legends Wolverine Wendigo Build A Figure","Marvel Legends Wolverine Wendigo Build A Figure 
Marvel Legends Wolverine as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the head to complete the BAF. Wolverine joins the Militant Group of super-beings known as the X-Force, using his powerful adamantium claws to slash down opposition.","/marvel/images/thumbs/wolverine-1266.jpg","C$27.40","C$39.99","C$33.17"
"1700781478-1791","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Wendigo (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-wendigo-baf-1272.php","Marvel Legends Wendigo (BAF) Wendigo Build A Figure","Marvel Legends Wendigo (BAF) Wendigo Build A Figure 
Marvel Legends Wendigo as part of the X-Men X-Force movies.","/marvel/images/thumbs/wendigo-baf-1272.jpg","Marvel","C$70.68","C$62.13"
