web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700780172-1306","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jedi Knight Revan and HK-47 (Galaxy of Heroes)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jedi-knight-revan-and-hk-47-galaxy-of-heroes-7243.php","Star Wars The Vintage Collection Jedi Knight Revan and HK-47 (Galaxy of Heroes)","Star Wars The Vintage Collection Jedi Knight Revan and HK-47 (Galaxy of Heroes) 
Two figures from Star Wars: Knights of the Old Republic! A Hunter-Killer droid from the Old Republic era, HK-47 is a deadly assassin with a dark sense of humor. The journey from dark side back to the light is complete as the legendary Revan finds redemption as a white-robed Jedi Knight. This Star Wars: Galaxy of Heroes 2-pack comes with Jedi Knight Revan’s lightsaber accessory and HK-47’s blaster accessory.","/star-wars/images/thumbs/jedi-knight-revan-and-hk-47-galaxy-of-heroes-7243.jpg","C$54.81","null","null"
"1700780174-1307","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jabba the Hutt Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jabba-the-hutt-set-6958.php","Star Wars The Vintage Collection Jabba the Hutt Set","Star Wars The Vintage Collection Jabba the Hutt Set 
Jabba the Hutt was one of the galaxy’s most powerful gangsters, with far-reaching influence in both politics and the criminal underworld. Pose out Jabba and his minions with an armrest, soft goods pillows, and rugs. 


Features Salacious B. Crumb and smelter droid 8D8 and includes aquarium and pipe set pieces, as well as food and drink accessories.","/star-wars/images/thumbs/jabba-the-hutt-set-6958.jpg","C$123.31","null","null"
"1700780176-1308","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Wicket W. Warrick & Kneesaa","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/wicket-w-warrick-kneesaa-6651.php","Star Wars The Vintage Collection Wicket W. Warrick & Kneesaa","Star Wars The Vintage Collection Wicket W. Warrick & Kneesaa 
If you like to collect e-e-e-e-e-e-Ewoks, this is your lucky day! Taking cues from the 1985-1987 cartoon show where our furry friends battled witches, monsters, Duloks, and even the Empire, this two-pack of carded figures bring you some much-needed updates to some classics. Wicket W. Warrick now appears in his season one yellowish-brown hood, and includes a pouch and spear. Princess Kneesaa includes her pink hood, and for the first time ever comes on an Ewoks-branded cardback with an all-new coin!","/star-wars/images/thumbs/wicket-w-warrick-kneesaa-6651.jpg","22","C$54.91","C$48.45"
"1700780178-1309","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Tusken Warrior & Massiff","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/tusken-warrior-massiff-6391.php","Star Wars The Vintage Collection Tusken Warrior & Massiff","Star Wars The Vintage Collection Tusken Warrior & Massiff 
Each member of a Tusken clan must learn to be useful. Some become guards—aided by attentive reptilian creatures, massiffs—to watch over prisoners of the tribe.","/star-wars/images/thumbs/tusken-warrior-massiff-6391.jpg","27","C$45.52","C$40.51"
"1700780181-1310","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Tusken Raiders 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/tusken-raiders-4-pack-6266.php","Star Wars The Vintage Collection Tusken Raiders 4 Pack","Star Wars The Vintage Collection Tusken Raiders 4 Pack 
Survival in the unforgiving desert of Tatooine requires strict training and discipline for the members of a Tusken tribe. Led by a chieftain, each member of the clan must learn to be useful.



Includes: 4 figures and 5 accessories.



This clan is made complete with the leader of the Tusken tribe, the chieftain!","/star-wars/images/thumbs/tusken-raiders-4-pack-6266.jpg","4","C$138.86","C$118.24"
"1700780183-1311","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","The Rescue Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/the-rescue-set-4436.php","Star Wars The Vintage Collection The Rescue Set","Star Wars The Vintage Collection The Rescue Set 
THE VINTAGE COLLECTION THE RESCUE SET multipack is inspired by the daring rescue of Grogu in the STAR WARS: THE MANDALORIAN series. The Mandalorian leads a crew on a rescue mission to Moff Gideon’s ship where a garrison of dark troopers – the advanced droids that captured Grogu – are waiting. Highly poseable with realistic detail, these 3.75-inch-scale figures can be displayed in action figure and vehicle collections. Includes 4 figures (The Mandalorian, Grogu, Moff Gideon and Dark Trooper) and 10 entertainment-inspired accessories.","/star-wars/images/thumbs/the-rescue-set-4436.jpg","27","C$81.70","C$86.33"
"1700780185-1312","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Sabine Wren (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/sabine-wren-deluxe-7080.php","Star Wars The Vintage Collection Sabine Wren (Deluxe)","Star Wars The Vintage Collection Sabine Wren (Deluxe) 
Set after the fall of the Empire, AHSOKA follows former Jedi Knight Ahsoka Tano as she investigates an emerging threat to a vulnerable galaxy. 


Includes figure with 8 entertainment-inspired accessories including a graffiti spray tool and 2 blasters.","/star-wars/images/thumbs/sabine-wren-deluxe-7080.jpg","34","C$50.19","C$44.68"
"1700780187-1313","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Rebel Soldiers 4 Pack (Echo Base Battle Gear)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/rebel-soldiers-4-pack-echo-base-battle-gear-4271.php","Star Wars The Vintage Collection Rebel Soldiers 4 Pack (Echo Base Battle Gear)","Star Wars The Vintage Collection Rebel Soldiers 4 Pack (Echo Base Battle Gear) 
Drawn from many homeworlds and species, Rebel troopers were the Alliance's front-line soldiers in the war against the Empire.



Featuring premium detail and design across multiple points of articulation, as well as original Kenner branding, these collectible STAR WARS: THE VINTAGE COLLECTION 3.75-INCH REBEL SOLDIER (ECHO BASE BATTLE GEAR) figures are inspired by characters in STAR WARS: THE EMPIRE STRIKE BACK.



Includes 4 figures and 14 accessories.","/star-wars/images/thumbs/rebel-soldiers-4-pack-echo-base-battle-gear-4271.jpg","25","C$62.69","C$58.58"
"1700780189-1314","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Phase II Clone Trooper (212th) 4 pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/phase-ii-clone-trooper-212th-4-pack-7079.php","Star Wars The Vintage Collection Phase II Clone Trooper (212th) 4 pack","Star Wars The Vintage Collection Phase II Clone Trooper (212th) 4 pack 
So symbolic were clone troopers of the times, the galaxy-wide conflict that saw their debut took its name from their ranks: the Clone Wars. 


Includes: 4 Phase II Clone Trooper Action figures and 6 accessories.","/star-wars/images/thumbs/phase-ii-clone-trooper-212th-4-pack-7079.jpg","C$82.22","C$113.07","C$96.39"
"1700780191-1315","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Paz Vizsla (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/paz-vizsla-deluxe-5498.php","Star Wars The Vintage Collection Paz Vizsla (Deluxe)","Star Wars The Vintage Collection Paz Vizsla (Deluxe) 
Paz Vizsla is a brawny warrior encased in the strongest beskar armor. A descendant of the esteemed House Vizsla, he comes from a long line of leaders spanning the centuries.



Includes three fireblasts, a blade, a backpack and a shield.","/star-wars/images/thumbs/paz-vizsla-deluxe-5498.jpg","42","C$32.11","C$28.04"
"1700780194-1316","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Obi-Wan Kenobi & Darth Vader Showdown 2 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/obi-wan-kenobi-darth-vader-showdown-2-pack-659.php","Star Wars The Vintage Collection Obi-Wan Kenobi & Darth Vader Showdown 2 Pack","Star Wars The Vintage Collection Obi-Wan Kenobi & Darth Vader Showdown 2 Pack 
Inspired by Star Wars: Obi-Wan Kenobi, this Star Wars The Vintage Collection 3.75-inch-scale Obi-Wan Kenobi (Showdown) & Darth Vader (Showdown) figure 2-pack.



On a desolate, rocky planet, Obi-Wan Kenobi confronts his past in a decisive battle against his former Padawan and friend Anakin Skywalker-- now known only as Darth Vader.



Includes: 2 figures and 5 accessories including Obi-Wan Kenobi’s lightsaber and Darth Vader’s battle-damaged helmet.","/star-wars/images/thumbs/obi-wan-kenobi-darth-vader-showdown-2-pack-659.jpg","4","C$82.22","C$75.37"
"1700780196-1317","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Figrin D’an and the Modal Nodes","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/figrin-dan-and-the-modal-nodes-5270.php","Star Wars The Vintage Collection Figrin D’an and the Modal Nodes","Star Wars The Vintage Collection Figrin D’an and the Modal Nodes 
This seven-piece ensemble of Bith musicians was a common sight at the Mos Eisley Cantina, playing swinging instrumentals for the watering hole’s staggering patrons.","/star-wars/images/thumbs/figrin-dan-and-the-modal-nodes-5270.jpg","25","C$77.25","C$88.40"
"1700780200-1318","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Krrsantan (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/krrsantan-deluxe-6378.php","Star Wars The Vintage Collection Krrsantan (Deluxe)","Star Wars The Vintage Collection Krrsantan (Deluxe) 
A former gladiator turned deadly bounty hunter, Krrsantan is a towering black-furred Wookiee who made a name for himself in the criminal underworld with his intimidating presence and raw strength.



Krrsantan action figure includes 9 deluxe accessories, including a mug and two extra sets of hands.","/star-wars/images/thumbs/krrsantan-deluxe-6378.jpg","24","C$41.54","C$36.47"
"1700780202-1319","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Krrsantan","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/krrsantan-6897.php","Star Wars The Vintage Collection Krrsantan","Star Wars The Vintage Collection Krrsantan 
A former gladiator turned deadly bounty hunter, Krrsantan is a towering black-furred Wookiee who made a name for himself in the criminal underworld with his intimidating presence and raw strength.



The Vintage Collection Krrsantan, as seen in The Book of Boba Fett. Featuring 14 accessories and available at SDCC 2023.","/star-wars/images/thumbs/krrsantan-6897.jpg","60","C$45.41","C$40.90"
"1700780205-1320","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Imperial Officers 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/imperial-officers-4-pack-6956.php","Star Wars The Vintage Collection Imperial Officers 4 Pack","Star Wars The Vintage Collection Imperial Officers 4 Pack 
Imperial officers fought against Rebel forces in an effort to maintain the Empire’s stronghold over the galaxy. Add these four unique figures to your collection, including two new officer portraits; Admiral Piett (with his admiral rank badge); and -- for the first time in The Vintage Collection -- General Motti.





Each Imperial Officer in this 4-pack comes with one or two blaster accessories for 6 accessories total","/star-wars/images/thumbs/imperial-officers-4-pack-6956.jpg","C$82.22","C$131.56","C$132.92"
"1700780207-1321","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Endor Bunker","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/endor-bunker-5555.php","Star Wars The Vintage Collection Endor Bunker","Star Wars The Vintage Collection Endor Bunker 
Located at an Imperial outpost on Endor’s forest moon, the Endor Bunker housed the shield generator for the Empire’s second Death Star.



Includes Endor Rebel Commando (Scout Trooper Disguise) action figure.","/star-wars/images/thumbs/endor-bunker-5555.jpg","31","C$72.26","C$70.72"
"1700780209-1322","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jabba's Court Denizens 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jabbas-court-denizens-4-pack-6380.php","Star Wars The Vintage Collection Jabba's Court Denizens 4 Pack","Star Wars The Vintage Collection Jabba's Court Denizens 4 Pack 
Protected by Skiff Guards, Jabba the Hutt’s palace bustled with court members, henchmen, and dregs of the galaxy who attempted to curry favor with the grotesque crime lord.



Includes 4 Vintage Collection Action Figures: Ree-Yees (Reissue VC137), Taym Dren-garen (VC287), Velken Tezeri (VC288) and Tessek (Squidhead VC286).","/star-wars/images/thumbs/jabbas-court-denizens-4-pack-6380.jpg","29","C$103.95","C$181.12"
"1700780211-1323","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett’s Throne Room","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/boba-fetts-throne-room-3963.php","Star Wars The Vintage Collection Boba Fett’s Throne Room","Star Wars The Vintage Collection Boba Fett’s Throne Room 
The pasty-faced Twi'lek, Bib Fortuna, sat on the throne that previously belonged to Jabba the Hut until one of the most feared bounty hunters in the galaxy, Boba Fett, took it by force.



Includes Bib Fortuna (Tatooine) figure, with Kenner-inspired staff accessory.","/star-wars/images/thumbs/boba-fetts-throne-room-3963.jpg","43","C$382.12","C$353.15"
"1700780213-1324","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Shoretrooper 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/shoretrooper-4-pack-3735.php","Star Wars The Vintage Collection Shoretrooper 4 Pack","Star Wars The Vintage Collection Shoretrooper 4 Pack 
During the height of the Empire shoretroopers would patrol the beaches of the Imperial military headquarters. Now, they find themselves assigned to less glorious postings.","/star-wars/images/thumbs/shoretrooper-4-pack-3735.jpg","29","C$68.75","C$55.76"
"1700780216-1325","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Rebel Fleet Trooper 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/rebel-fleet-trooper-4-pack-3532.php","Star Wars The Vintage Collection Rebel Fleet Trooper 4 Pack","Star Wars The Vintage Collection Rebel Fleet Trooper 4 Pack 
Rebel troopers were the Alliance's front-line soldiers in the war against the Empire. They defended the Alliance's leaders on countless worlds and during many operations.","/star-wars/images/thumbs/rebel-fleet-trooper-4-pack-3532.jpg","C$57.55","C$91.61","C$86.22"
"1700780218-1326","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Phase I Clone Trooper 4 pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/phase-i-clone-trooper-4-pack-4185.php","Star Wars The Vintage Collection Phase I Clone Trooper 4 pack","Star Wars The Vintage Collection Phase I Clone Trooper 4 pack 
So symbolic were they of the times, the galaxy-wide conflict that saw their debut took its name from their ranks: the Clone Wars.","/star-wars/images/thumbs/phase-i-clone-trooper-4-pack-4185.jpg","28","C$69.43","C$62.23"
"1700780220-1327","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Obi-Wan Kenobi Multipack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/obi-wan-kenobi-multipack-4329.php","Star Wars The Vintage Collection Obi-Wan Kenobi Multipack","Star Wars The Vintage Collection Obi-Wan Kenobi Multipack 
Amazon Exclusive multi-pack includes VC257 Ben Kenobi (Tibidon Station), VC259 Teeka, and VC258 Purge Trooper (Phase II Armor).","/star-wars/images/thumbs/obi-wan-kenobi-multipack-4329.jpg","8","C$66.12","C$80.18"
