web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700698529-478","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Commander (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/cobra-commander-retro-7472.php","G.I. Joe 6"" Classified Series Cobra Commander (Retro)","G.I. Joe 6"" Classified Series Cobra Commander (Retro) 
G.I. Joe Classified Cobra Commander is included with the Cobra H.I.S.S. Tank HasLab crowdfunded project that ended in August of 2023. 


Cobra Commander is featured on retro blister card, white border, comes unpunched on thicker card stock and English file card on card back. 


Includes 8 accessories including alternate hands, a backpack holster for the venom blaster accessory and a miniature globe with pet cobra.","/gijoe/images/thumbs/cobra-commander-retro-7472.jpg","null"
"1700698533-479","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Storm Shadow (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/storm-shadow-retro-4540.php","G.I. Joe 6"" Classified Series Storm Shadow (Retro)","G.I. Joe 6"" Classified Series Storm Shadow (Retro) 
This Storm Shadow figure comes ready for action, with multiple points of articulation for high poseability and 10 character-inspired accessories.","/gijoe/images/thumbs/storm-shadow-retro-4540.jpg","C$58.59"
"1700698535-480","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Lady Jaye (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/lady-jaye-retro-4110.php","G.I. Joe 6"" Classified Series Lady Jaye (Retro)","G.I. Joe 6"" Classified Series Lady Jaye (Retro) 
Lady Jaye Retro is exclusive to Walmart with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/lady-jaye-retro-4110.jpg","C$20.83"
"1700698537-481","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Gung-Ho (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/gung-ho-retro-4109.php","G.I. Joe 6"" Classified Series Gung-Ho (Retro)","G.I. Joe 6"" Classified Series Gung-Ho (Retro) 
Born into a large back-swamp Cajun clan, Gung-Ho won a reputation as a bare-knuckle brawler, joined the Marines at 18, and graduated top of his class from boot camp. Exclusive to Walmart with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/gung-ho-retro-4109.jpg","C$30.82"
"1700698539-482","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Destro (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/destro-retro-4108.php","G.I. Joe 6"" Classified Series Destro (Retro)","G.I. Joe 6"" Classified Series Destro (Retro) 
Destro is the faceless power behind M.A.R.S., the largest manufacturer of state-of-the-art weaponry. Exclusive to Walmart with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/destro-retro-4108.jpg","C$38.07"
"1700698541-483","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Baroness (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/baroness-retro-4111.php","G.I. Joe 6"" Classified Series Baroness (Retro)","G.I. Joe 6"" Classified Series Baroness (Retro) 
The Baroness Retro is exclusive to Walmart with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/baroness-retro-4111.jpg","C$27.84"
"1700698544-484","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Snake Eyes (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/snake-eyes-retro-5299.php","G.I. Joe 6"" Classified Series Snake Eyes (Retro)","G.I. Joe 6"" Classified Series Snake Eyes (Retro) 
This Snake Eyes figure comes ready for action, with multiple points of articulation for high poseability and 7 accessories inspired by the character and the iconic “Silent Interlude” comic cover. And with classic package art, the G.I. Joe Classified Series Snake Eyes package will make a mark on shelves.



Includes: figure and 7 accessories.","/gijoe/images/thumbs/snake-eyes-retro-5299.jpg","C$54.76"
"1700698546-485","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson Guard (Retro)","https://www.actionfigure411.com/gijoe/6-classified-series/classified-retro/crimson-guard-retro-5300.php","G.I. Joe 6"" Classified Series Crimson Guard (Retro)","G.I. Joe 6"" Classified Series Crimson Guard (Retro) 
This Crimson Guard figure comes ready for action, with multiple points of articulation for high poseability and 6 character-inspired accessories. And with classic package art, the G.I. Joe Classified Series Crimson Guard package will make a mark on shelves.



Includes: figure and 6 accessories.","/gijoe/images/thumbs/crimson-guard-retro-5300.jpg","C$41.92"
"1700698548-486","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Metal-Head (Iron Grenadier)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/metal-head-iron-grenadier-7484.php","G.I. Joe 6"" Classified Series Metal-Head (Iron Grenadier)","G.I. Joe 6"" Classified Series Metal-Head (Iron Grenadier) 
Metal-Head is a walking anti-tank weapon serving Destro’s Iron Grenadiers. He can launch high-explosive missiles and visually guide them to their objectives. ""The real targeting computer is his brain, and it doesn't have an 'off' switch. This guy is so wrapped-up with his work that even when he sits down for dinner, he's locking onto the mashed potatoes.""



Includes 28 character-inspired accessory pieces including removeable backpack missile racks, ""hip-swivel"" holster tubes, 6 missiles with blast effects, alternate hair, helmet, knife, and two weapons.","/gijoe/images/thumbs/metal-head-iron-grenadier-7484.jpg","null"
"1700698550-487","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Mutt & Junkyard","https://www.actionfigure411.com/gijoe/6-classified-series/classified/mutt-junkyard-7483.php","G.I. Joe 6"" Classified Series Mutt & Junkyard","G.I. Joe 6"" Classified Series Mutt & Junkyard 
Mutt & Junkyard are characters from the G.I. Joe: A Real American Hero toyline, comic books, and animated series. Mutt is the G.I. Joe Team’s dog handler, and Junkyard is his loyal K9 partner, a Rottweiler.



Includes alternate ""good boy"" head for Junkyard, removable helmet, 2x goggles, face mask, 3 sets of alternate hands (for dog commands and training), knife, hand gun that can be stored on Mutt's thigh holster, scoped rifle and baton.



Mutt is a natural with animals. He likes them and they like him. The problem is that he gets along better with dogs than he does with humans. ""If you're sitting next to Mutt in the mess hall, don't try filching anything from his tray-he'll bite your leg off!""","/gijoe/images/thumbs/mutt-junkyard-7483.jpg","null"
"1700698552-488","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Clutch with VAMP","https://www.actionfigure411.com/gijoe/6-classified-series/classified/clutch-with-vamp-7460.php","G.I. Joe 6"" Classified Series Clutch with VAMP","G.I. Joe 6"" Classified Series Clutch with VAMP 
G.I. Joe Classified Series line, Clutch with VAMP (Multi-Purpose Attack Vehicle) comes ready for adventure, with multiple points of articulation for high poseability. This Clutch figure contains 5 character-inspired accessory pieces including 2 helmets, wrench, and 2 weapon accessories. The VAMP is bursting with accessories and details including a fire axe, extinguisher, 2 fuel cans, side mirror, tow hook, and cannon. 


Clutch was a mechanic at Manny's Mean Machines and was heavily involved in racing street machines prior to enlistment. ""He greases his hair with motor oil, rarely shaves, and chews on the same toothpick for months.""



Includes: Figure with 5 accessories and vehicle with 21 unassembled pieces and is exclusive on Hasbro Pulse.","/gijoe/images/thumbs/clutch-with-vamp-7460.jpg","C$164.44"
