web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700702179-1531","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Foil Jack MP-20","https://www.actionfigure411.com/transformers/masterpiece/hasbro/foil-jack-mp-20-1109.php","Transformers Masterpiece Foil Jack MP-20","Transformers Masterpiece Foil Jack MP-20 
Deformation from racing car to a robot of regular high was the worldwide very popular licensed Lancia Stratos Turbo. Immobilizer and shoulder cannon is a Cybertron engineer Foil Jack MP-20 Plus was invented, magnet bullets, we have come with a laser gun.","/transformers/images/thumbs/foil-jack-mp-20-1109.jpg","null"
"1700702181-1532","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Optimus Prime MP-10","https://www.actionfigure411.com/transformers/masterpiece/hasbro/optimus-prime-mp-10-654.php","Transformers Masterpiece Optimus Prime MP-10","Transformers Masterpiece Optimus Prime MP-10 
Transformers Masterpiece figures showcase iconic characters with premium detailing and intricate articulation. This MP-10 Optimus Prime figure is a fan favorite that features classic accessories including the matrix of leadership, beam rifle, and energy axe.



The Transformers Masterpiece-10 Action Figure - Optimus Prime Features: 
Classic Masterpiece-10 Optimus Prime figure. Converts between robot and truck modes. Converts in 24 steps. Comes with roller, Matrix of Leadership accessory, and battle accessories. Includes Spike Witwicky figure","/transformers/images/thumbs/optimus-prime-mp-10-654.jpg","C$358.73"
"1700702183-1533","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Shattered Glass Optimus Prime MP-10SG","https://www.actionfigure411.com/transformers/masterpiece/hasbro/shattered-glass-optimus-prime-mp-10sg-653.php","Transformers Masterpiece Shattered Glass Optimus Prime MP-10SG","Transformers Masterpiece Shattered Glass Optimus Prime MP-10SG 
Shattered Glass Optimus Prime is a redeco of heroic Masterpiece MP-10 Convoy. He transforms into a Freightliner FL86, and comes with a hand-held laser blaster which can collapse and store inside a compartment on his back in either mode, as well as a battle axe that slips over Optimus Prime's right hand.","/transformers/images/thumbs/shattered-glass-optimus-prime-mp-10sg-653.jpg","C$315.24"
"1700702185-1534","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Bumblebee and Spike MP-08","https://www.actionfigure411.com/transformers/masterpiece/hasbro/bumblebee-and-spike-mp-08-652.php","Transformers Masterpiece Bumblebee and Spike MP-08","Transformers Masterpiece Bumblebee and Spike MP-08 
This Masterpiece Bumblebee figure converts from robot mode to a licensed Volkswagen Type 1 Beetle vehicle mode. It comes with a converting Exosuit Spike Witwicky figure. Both are inspired by the classic 1986 Transformers animated film. The figure comes with 2 swappable faceplates (smiling and neutral), a blaster accessory, a removable spare tire cover, and an extra side mirror. Comes with a converting Exosuit Spike Witwicky figure. Includes 2 swappable faceplates and a blaster accessory","/transformers/images/thumbs/bumblebee-and-spike-mp-08-652.jpg","C$108.94"
"1700702187-1535","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Starscream MP-07","https://www.actionfigure411.com/transformers/masterpiece/hasbro/starscream-mp-07-651.php","Transformers Masterpiece Starscream MP-07","Transformers Masterpiece Starscream MP-07 
Unsurpassed in ego or ambition, Starscream is the scheming second-in-command to Megatron. His all-consuming hunger for absolute power overcomes what little reason there is in him, driving him to adopt ever more vile plots in his quest to unseat Megatron as leader of the Decepticons. With his trademark null-ray cannons and a vast array of secondary weapons, Starscream is second only to Megatron and Optimus Prime in power. Includes figure, 2 missile accessories, pilot mini-figure, display stand, and instructions.","/transformers/images/thumbs/starscream-mp-07-651.jpg","null"
"1700702190-1536","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Bluestreak MP-06","https://www.actionfigure411.com/transformers/masterpiece/hasbro/bluestreak-mp-06-650.php","Transformers Masterpiece Bluestreak MP-06","Transformers Masterpiece Bluestreak MP-06 
A Hasbro release of the toy, now named Bluestreak, but keeping with the same colors as Streak.

Like other Hasbro MP cars, Bluestreak is boxed in robot form (unlike the Takara versions which are boxed in alt mode).","/transformers/images/thumbs/bluestreak-mp-06-650.jpg","C$88.47"
"1700702192-1537","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Sunstorm MP-05","https://www.actionfigure411.com/transformers/masterpiece/hasbro/sunstorm-mp-05-648.php","Transformers Masterpiece Sunstorm MP-05","Transformers Masterpiece Sunstorm MP-05 
A Toys R Us exclusive, Masterpiece Sunstorm MP-05 is a redo of the Masterpiece MP-11 Starscream mold.","/transformers/images/thumbs/sunstorm-mp-05-648.jpg","C$165.67"
"1700702194-1538","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Prowl MP-04","https://www.actionfigure411.com/transformers/masterpiece/hasbro/prowl-mp-04-647.php","Transformers Masterpiece Prowl MP-04","Transformers Masterpiece Prowl MP-04 
Prowl is the Autobot military strategist. As such, Autobot Commander Optimus Prime keeps Prowl near at hand for his indispensable expertise. Prowl is quiet, competent, loyal, and possessed of almost endless patience.","/transformers/images/thumbs/prowl-mp-04-647.jpg","C$116.45"
"1700702196-1539","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Grimlock MP-03","https://www.actionfigure411.com/transformers/masterpiece/hasbro/grimlock-mp-03-646.php","Transformers Masterpiece Grimlock MP-03","Transformers Masterpiece Grimlock MP-03 
Weakness offends Grimlock. He considers none so weak as those refuse their own strength to command victories! Masterpiece Grimlock figure converts from Dinobot mode to dino mode. He comes armed with a double-barreled blaster. Glowing Sword Blaster Included. Includes glowing sword and Dinobot Crown of Leadership. Figure�s eyes change color in dino mode","/transformers/images/thumbs/grimlock-mp-03-646.jpg","C$205.53"
"1700702198-1540","https://www.actionfigure411.com/transformers/masterpiece-price-guide.php","Soundwave MP-02","https://www.actionfigure411.com/transformers/masterpiece/hasbro/soundwave-mp-02-640.php","Transformers Masterpiece Soundwave MP-02","Transformers Masterpiece Soundwave MP-02 
Counted among Megatrons earliest followers, Soundwave perpetuates his role as Decepticon communication specialist by virtue of Mini-Cons which stealthily infiltrate the fortifications of Autobots and Decepticons alike, enabling Soundwave to provide Megatron with even the most secret or obscure information. Soundwaves sensors are sensitive to even the lowest radio transmissions, and his penchant for monitoring electrical brain impulses provides him with the equivalent of telepathy. Soundwaves predilections make him unpopular among his fellow Decepticons, mostly limiting his interactions to the company of his Cassette Warriors.","/transformers/images/thumbs/soundwave-mp-02-640.jpg","null"
