web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700697200-1","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jedi Knight Revan and HK-47 (Galaxy of Heroes)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jedi-knight-revan-and-hk-47-galaxy-of-heroes-7243.php","Star Wars The Vintage Collection Jedi Knight Revan and HK-47 (Galaxy of Heroes)","Star Wars The Vintage Collection Jedi Knight Revan and HK-47 (Galaxy of Heroes) 
Two figures from Star Wars: Knights of the Old Republic! A Hunter-Killer droid from the Old Republic era, HK-47 is a deadly assassin with a dark sense of humor. The journey from dark side back to the light is complete as the legendary Revan finds redemption as a white-robed Jedi Knight. This Star Wars: Galaxy of Heroes 2-pack comes with Jedi Knight Revan’s lightsaber accessory and HK-47’s blaster accessory.","/star-wars/images/thumbs/jedi-knight-revan-and-hk-47-galaxy-of-heroes-7243.jpg","null"
"1700697202-2","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Jabba the Hutt Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/jabba-the-hutt-set-6958.php","Star Wars The Vintage Collection Jabba the Hutt Set","Star Wars The Vintage Collection Jabba the Hutt Set 
Jabba the Hutt was one of the galaxy’s most powerful gangsters, with far-reaching influence in both politics and the criminal underworld. Pose out Jabba and his minions with an armrest, soft goods pillows, and rugs. 


Features Salacious B. Crumb and smelter droid 8D8 and includes aquarium and pipe set pieces, as well as food and drink accessories.","/star-wars/images/thumbs/jabba-the-hutt-set-6958.jpg","null"
"1700697204-3","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Wicket W. Warrick & Kneesaa","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/wicket-w-warrick-kneesaa-6651.php","Star Wars The Vintage Collection Wicket W. Warrick & Kneesaa","Star Wars The Vintage Collection Wicket W. Warrick & Kneesaa 
If you like to collect e-e-e-e-e-e-Ewoks, this is your lucky day! Taking cues from the 1985-1987 cartoon show where our furry friends battled witches, monsters, Duloks, and even the Empire, this two-pack of carded figures bring you some much-needed updates to some classics. Wicket W. Warrick now appears in his season one yellowish-brown hood, and includes a pouch and spear. Princess Kneesaa includes her pink hood, and for the first time ever comes on an Ewoks-branded cardback with an all-new coin!","/star-wars/images/thumbs/wicket-w-warrick-kneesaa-6651.jpg","C$47.41"
"1700697206-4","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Tusken Warrior & Massiff","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/tusken-warrior-massiff-6391.php","Star Wars The Vintage Collection Tusken Warrior & Massiff","Star Wars The Vintage Collection Tusken Warrior & Massiff 
Each member of a Tusken clan must learn to be useful. Some become guards—aided by attentive reptilian creatures, massiffs—to watch over prisoners of the tribe.","/star-wars/images/thumbs/tusken-warrior-massiff-6391.jpg","C$41.44"
"1700697208-5","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Tusken Raiders 4 Pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/tusken-raiders-4-pack-6266.php","Star Wars The Vintage Collection Tusken Raiders 4 Pack","Star Wars The Vintage Collection Tusken Raiders 4 Pack 
Survival in the unforgiving desert of Tatooine requires strict training and discipline for the members of a Tusken tribe. Led by a chieftain, each member of the clan must learn to be useful.



Includes: 4 figures and 5 accessories.



This clan is made complete with the leader of the Tusken tribe, the chieftain!","/star-wars/images/thumbs/tusken-raiders-4-pack-6266.jpg","C$118.22"
"1700697210-6","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","The Rescue Set","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/the-rescue-set-4436.php","Star Wars The Vintage Collection The Rescue Set","Star Wars The Vintage Collection The Rescue Set 
THE VINTAGE COLLECTION THE RESCUE SET multipack is inspired by the daring rescue of Grogu in the STAR WARS: THE MANDALORIAN series. The Mandalorian leads a crew on a rescue mission to Moff Gideon’s ship where a garrison of dark troopers – the advanced droids that captured Grogu – are waiting. Highly poseable with realistic detail, these 3.75-inch-scale figures can be displayed in action figure and vehicle collections. Includes 4 figures (The Mandalorian, Grogu, Moff Gideon and Dark Trooper) and 10 entertainment-inspired accessories.","/star-wars/images/thumbs/the-rescue-set-4436.jpg","C$86.32"
"1700697212-7","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Sabine Wren (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/sabine-wren-deluxe-7080.php","Star Wars The Vintage Collection Sabine Wren (Deluxe)","Star Wars The Vintage Collection Sabine Wren (Deluxe) 
Set after the fall of the Empire, AHSOKA follows former Jedi Knight Ahsoka Tano as she investigates an emerging threat to a vulnerable galaxy. 


Includes figure with 8 entertainment-inspired accessories including a graffiti spray tool and 2 blasters.","/star-wars/images/thumbs/sabine-wren-deluxe-7080.jpg","C$44.67"
"1700697215-8","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Rebel Soldiers 4 Pack (Echo Base Battle Gear)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/rebel-soldiers-4-pack-echo-base-battle-gear-4271.php","Star Wars The Vintage Collection Rebel Soldiers 4 Pack (Echo Base Battle Gear)","Star Wars The Vintage Collection Rebel Soldiers 4 Pack (Echo Base Battle Gear) 
Drawn from many homeworlds and species, Rebel troopers were the Alliance's front-line soldiers in the war against the Empire.



Featuring premium detail and design across multiple points of articulation, as well as original Kenner branding, these collectible STAR WARS: THE VINTAGE COLLECTION 3.75-INCH REBEL SOLDIER (ECHO BASE BATTLE GEAR) figures are inspired by characters in STAR WARS: THE EMPIRE STRIKE BACK.



Includes 4 figures and 14 accessories.","/star-wars/images/thumbs/rebel-soldiers-4-pack-echo-base-battle-gear-4271.jpg","C$58.57"
"1700697217-9","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Phase II Clone Trooper (212th) 4 pack","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/phase-ii-clone-trooper-212th-4-pack-7079.php","Star Wars The Vintage Collection Phase II Clone Trooper (212th) 4 pack","Star Wars The Vintage Collection Phase II Clone Trooper (212th) 4 pack 
So symbolic were clone troopers of the times, the galaxy-wide conflict that saw their debut took its name from their ranks: the Clone Wars. 


Includes: 4 Phase II Clone Trooper Action figures and 6 accessories.","/star-wars/images/thumbs/phase-ii-clone-trooper-212th-4-pack-7079.jpg","C$96.37"
"1700697219-10","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Paz Vizsla (Deluxe)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-sets/paz-vizsla-deluxe-5498.php","Star Wars The Vintage Collection Paz Vizsla (Deluxe)","Star Wars The Vintage Collection Paz Vizsla (Deluxe) 
Paz Vizsla is a brawny warrior encased in the strongest beskar armor. A descendant of the esteemed House Vizsla, he comes from a long line of leaders spanning the centuries.



Includes three fireblasts, a blade, a backpack and a shield.","/star-wars/images/thumbs/paz-vizsla-deluxe-5498.jpg","C$28.04"
